id	dmel
cluster_0	4
cluster_1	3
cluster_2	1
cluster_3	3
cluster_4	6
cluster_5	15
cluster_6	3
cluster_7	18
cluster_8	2
cluster_9	7
cluster_10	3
cluster_11	5
cluster_12	7
cluster_13	16
cluster_14	10
cluster_15	7
cluster_16	7
cluster_17	7
cluster_18	5
cluster_19	3
cluster_20	1
cluster_21	3
cluster_22	5
cluster_23	18
cluster_24	5
cluster_25	4
cluster_26	2
cluster_27	3
cluster_28	3
cluster_29	3
cluster_30	1
cluster_31	3
cluster_32	5
cluster_33	18
cluster_34	4
cluster_35	6
cluster_36	1
cluster_37	4
cluster_38	1
cluster_39	3
cluster_40	3
cluster_41	3
cluster_42	1
cluster_43	7
cluster_44	4
cluster_45	4
cluster_46	6
cluster_47	4
cluster_48	3
cluster_49	2
cluster_50	3
cluster_51	4
cluster_52	43
cluster_53	5
cluster_54	1
cluster_55	2
cluster_56	3
cluster_57	1
cluster_58	51
cluster_59	2
cluster_60	2
cluster_61	4
cluster_62	2
cluster_63	3
cluster_64	4
cluster_65	5
cluster_66	3
cluster_67	4
cluster_68	8
cluster_69	1
cluster_70	9
cluster_71	2
cluster_72	3
cluster_73	13
cluster_74	33
cluster_75	3
cluster_76	1
cluster_77	4
cluster_78	9
cluster_79	5
cluster_80	1
cluster_81	2
cluster_82	4
cluster_83	3
cluster_84	22
cluster_85	13
cluster_86	4
cluster_87	4
cluster_88	15
cluster_89	3
cluster_90	2
cluster_91	1
cluster_92	3
cluster_93	7
cluster_94	1
cluster_95	20
cluster_96	5
cluster_97	1
cluster_98	2
cluster_99	2
cluster_100	7
cluster_101	2
cluster_102	8
cluster_103	1
cluster_104	3
cluster_105	11
cluster_106	7
cluster_107	1
cluster_108	3
cluster_109	4
cluster_110	60
cluster_111	11
cluster_112	21
cluster_113	32
cluster_114	2
cluster_115	7
cluster_116	7
cluster_117	1
cluster_118	11
cluster_119	3
cluster_120	11
cluster_121	2
cluster_122	3
cluster_123	2
cluster_124	3
cluster_125	5
cluster_126	1
cluster_127	1
cluster_128	3
cluster_129	2
cluster_130	2
cluster_131	11
cluster_132	9
cluster_133	10
cluster_134	17
cluster_135	1
cluster_136	5
cluster_137	42
cluster_138	2
cluster_139	16
cluster_140	3
cluster_141	17
cluster_142	3
cluster_143	4
cluster_144	1
cluster_145	2
cluster_146	3
cluster_147	9
cluster_148	23
cluster_149	9
cluster_150	1
cluster_151	11
cluster_152	1
cluster_153	2
cluster_154	2
cluster_155	10
cluster_156	32
cluster_157	5
cluster_158	13
cluster_159	3
cluster_160	2
cluster_161	1
cluster_162	2
cluster_163	6
cluster_164	1
cluster_165	8
cluster_166	4
cluster_167	1
cluster_168	5
cluster_169	15
cluster_170	7
cluster_171	3
cluster_172	6
cluster_173	17
cluster_174	9
cluster_175	3
cluster_176	5
cluster_177	22
cluster_178	3
cluster_179	4
cluster_180	14
cluster_181	4
cluster_182	6
cluster_183	12
cluster_184	2
cluster_185	1
cluster_186	8
cluster_187	17
cluster_188	5
cluster_189	13
cluster_190	4
cluster_191	4
cluster_192	2
cluster_193	21
cluster_194	6
cluster_195	9
cluster_196	3
cluster_197	13
cluster_198	1
cluster_199	16
cluster_200	4
cluster_201	12
cluster_202	1
cluster_203	4
cluster_204	10
cluster_205	7
cluster_206	2
cluster_207	1
cluster_208	2
cluster_209	16
cluster_210	4
cluster_211	2
cluster_212	4
cluster_213	2
cluster_214	13
cluster_215	5
cluster_216	1
cluster_217	7
cluster_218	1
cluster_219	8
cluster_220	4
cluster_221	4
cluster_222	1
cluster_223	14
cluster_224	7
cluster_225	1
cluster_226	3
cluster_227	12
cluster_228	9
cluster_229	3
cluster_230	6
cluster_231	2
cluster_232	5
cluster_233	5
cluster_234	4
cluster_235	2
cluster_236	11
cluster_237	5
cluster_238	1
cluster_239	14
cluster_240	22
cluster_241	2
cluster_242	4
cluster_243	3
cluster_244	2
cluster_245	1
cluster_246	3
cluster_247	29
cluster_248	6
cluster_249	11
cluster_250	1
