id	tissue	rank	expression	variance
FBgn0000008	Whole_body		3.47142857142857	
FBgn0000008	Muscle		2.5	
FBgn0000008	Gut		0.3	
FBgn0000008	Fat_body		5.36666666666667	
FBgn0000014	Whole_body		11.3571428571429	
FBgn0000014	Muscle		50.45	
FBgn0000014	Gut		0.866666666666667	
FBgn0000014	Fat_body		7.0	
FBgn0000015	Whole_body		1.52857142857143	
FBgn0000015	Muscle		5.725	
FBgn0000015	Gut		0.1	
FBgn0000015	Fat_body		0.466666666666667	
FBgn0000017	Whole_body		6.62857142857143	
FBgn0000017	Muscle		5.625	
FBgn0000017	Gut		2.8	
FBgn0000017	Fat_body		1.56666666666667	
FBgn0000018	Whole_body		7.0	
FBgn0000018	Muscle		7.4	
FBgn0000018	Gut		2.8	
FBgn0000018	Fat_body		2.36666666666667	
FBgn0000022	Whole_body		1.51428571428571	
FBgn0000022	Muscle		1.0	
FBgn0000022	Gut			
FBgn0000022	Fat_body			
FBgn0000024	Whole_body		3.58571428571429	
FBgn0000024	Muscle		2.1	
FBgn0000024	Gut		3.46666666666667	
FBgn0000024	Fat_body		4.13333333333333	
FBgn0000028	Whole_body		1.24285714285714	
FBgn0000028	Muscle			
FBgn0000028	Gut			
FBgn0000028	Fat_body			
FBgn0000032	Whole_body		23.4714285714286	
FBgn0000032	Muscle		24.75	
FBgn0000032	Gut		33.1666666666667	
FBgn0000032	Fat_body		15.3333333333333	
FBgn0000036	Whole_body		0.614285714285714	
FBgn0000036	Muscle			
FBgn0000036	Gut			
FBgn0000036	Fat_body			
FBgn0000037	Whole_body		0.9	
FBgn0000037	Muscle			
FBgn0000037	Gut			
FBgn0000037	Fat_body			
FBgn0000038	Whole_body		1.97142857142857	
FBgn0000038	Muscle			
FBgn0000038	Gut			
FBgn0000038	Fat_body			
FBgn0000039	Whole_body		1.51428571428571	
FBgn0000039	Muscle			
FBgn0000039	Gut			
FBgn0000039	Fat_body			
FBgn0000042	Whole_body		832.971428571429	
FBgn0000042	Muscle		1217.7	
FBgn0000042	Gut		817.066666666667	
FBgn0000042	Fat_body		401.166666666667	
FBgn0000043	Whole_body		274.657142857143	
FBgn0000043	Muscle		157.575	
FBgn0000043	Gut		238.2	
FBgn0000043	Fat_body		20.3333333333333	
FBgn0000044	Whole_body		1862.52857142857	
FBgn0000044	Muscle		3118.15	
FBgn0000044	Gut		36.2666666666667	
FBgn0000044	Fat_body		3.86666666666667	
FBgn0000045	Whole_body		0.7	
FBgn0000045	Muscle			
FBgn0000045	Gut			
FBgn0000045	Fat_body			
FBgn0000046	Whole_body		249.814285714286	
FBgn0000046	Muscle		770.65	
FBgn0000046	Gut		8.53333333333333	
FBgn0000046	Fat_body		2.1	
FBgn0000047	Whole_body		1.43333333333333	
FBgn0000047	Muscle			
FBgn0000047	Gut			
FBgn0000047	Fat_body			
FBgn0000052	Whole_body		35.8857142857143	
FBgn0000052	Muscle		5.7	
FBgn0000052	Gut		3.23333333333333	
FBgn0000052	Fat_body		187.766666666667	
FBgn0000053	Whole_body		79.2428571428571	
FBgn0000053	Muscle		5.05	
FBgn0000053	Gut		5.5	
FBgn0000053	Fat_body		567.3	
FBgn0000054	Whole_body		20.6142857142857	
FBgn0000054	Muscle		20.85	
FBgn0000054	Gut		12.7666666666667	
FBgn0000054	Fat_body		5.86666666666667	
FBgn0000055	Whole_body			
FBgn0000055	Muscle			
FBgn0000055	Gut			
FBgn0000055	Fat_body		0.433333333333333	
FBgn0000056	Whole_body			
FBgn0000056	Muscle			
FBgn0000056	Gut			
FBgn0000056	Fat_body			
FBgn0000057	Whole_body		18.0714285714286	
FBgn0000057	Muscle		12.0	
FBgn0000057	Gut		4.1	
