FBpp_ID,Parent_ID,tissue,expression
FBpp0070000,FBgn0031081,Whole_body,5.02857142857143
FBpp0070000,FBgn0031081,Muscle,8.675
FBpp0070000,FBgn0031081,Gut,4.03333333333333
FBpp0070000,FBgn0031081,Fat_body,NA
FBpp0300206,FBgn0031081,Whole_body,5.02857142857143
FBpp0300206,FBgn0031081,Muscle,8.675
FBpp0300206,FBgn0031081,Gut,4.03333333333333
FBpp0300206,FBgn0031081,Fat_body,NA
FBpp0300207,FBgn0031081,Whole_body,5.02857142857143
FBpp0300207,FBgn0031081,Muscle,8.675
FBpp0300207,FBgn0031081,Gut,4.03333333333333
FBpp0300207,FBgn0031081,Fat_body,NA
FBpp0070001,FBgn0031085,Whole_body,25.3714285714286
FBpp0070001,FBgn0031085,Muscle,NA
FBpp0070001,FBgn0031085,Gut,NA
FBpp0070001,FBgn0031085,Fat_body,NA
FBpp0290787,FBgn0040784,Whole_body,4.81428571428572
FBpp0290787,FBgn0040784,Muscle,NA
FBpp0290787,FBgn0040784,Gut,NA
FBpp0290787,FBgn0040784,Fat_body,NA
FBpp0070034,FBgn0031082,Whole_body,6.84285714285714
FBpp0070034,FBgn0031082,Muscle,NA
FBpp0070034,FBgn0031082,Gut,NA
FBpp0070034,FBgn0031082,Fat_body,NA
FBpp0070035,FBgn0031080,Whole_body,13.7285714285714
FBpp0070035,FBgn0031080,Muscle,107.05
FBpp0070035,FBgn0031080,Gut,NA
FBpp0070035,FBgn0031080,Fat_body,NA
FBpp0070044,FBgn0053217,Whole_body,3.37142857142857
FBpp0070044,FBgn0053217,Muscle,3
FBpp0070044,FBgn0053217,Gut,1.73333333333333
FBpp0070044,FBgn0053217,Fat_body,1.93333333333333
FBpp0070045,FBgn0052350,Whole_body,3.5
FBpp0070045,FBgn0052350,Muscle,3.275
FBpp0070045,FBgn0052350,Gut,2.8
FBpp0070045,FBgn0052350,Fat_body,2.63333333333333
FBpp0289147,FBgn0024733,Whole_body,624.414285714286
FBpp0289147,FBgn0024733,Muscle,606.025
FBpp0289147,FBgn0024733,Gut,346.333333333333
FBpp0289147,FBgn0024733,Fat_body,571.566666666667
FBpp0289148,FBgn0024733,Whole_body,624.414285714286
FBpp0289148,FBgn0024733,Muscle,606.025
FBpp0289148,FBgn0024733,Gut,346.333333333333
FBpp0289148,FBgn0024733,Fat_body,571.566666666667
FBpp0306039,FBgn0024733,Whole_body,624.414285714286
FBpp0306039,FBgn0024733,Muscle,606.025
FBpp0306039,FBgn0024733,Gut,346.333333333333
FBpp0306039,FBgn0024733,Fat_body,571.566666666667
FBpp0070062,FBgn0040372,Whole_body,6.44285714285714
FBpp0070062,FBgn0040372,Muscle,5.65
FBpp0070062,FBgn0040372,Gut,3.53333333333333
FBpp0070062,FBgn0040372,Fat_body,2.1
FBpp0305207,FBgn0040372,Whole_body,6.44285714285714
FBpp0305207,FBgn0040372,Muscle,5.65
FBpp0305207,FBgn0040372,Gut,3.53333333333333
FBpp0305207,FBgn0040372,Fat_body,2.1
FBpp0070063,FBgn0000316,Whole_body,14.4285714285714
FBpp0070063,FBgn0000316,Muscle,17.25
FBpp0070063,FBgn0000316,Gut,11.2666666666667
FBpp0070063,FBgn0000316,Fat_body,11.1333333333333
FBpp0070064,FBgn0000316,Whole_body,14.4285714285714
FBpp0070064,FBgn0000316,Muscle,17.25
FBpp0070064,FBgn0000316,Gut,11.2666666666667
FBpp0070064,FBgn0000316,Fat_body,11.1333333333333
FBpp0070065,FBgn0024989,Whole_body,15.6714285714286
FBpp0070065,FBgn0024989,Muscle,16.6
FBpp0070065,FBgn0024989,Gut,0.733333333333333
FBpp0070065,FBgn0024989,Fat_body,NA
FBpp0070066,FBgn0024989,Whole_body,15.6714285714286
FBpp0070066,FBgn0024989,Muscle,16.6
FBpp0070066,FBgn0024989,Gut,0.733333333333333
FBpp0070066,FBgn0024989,Fat_body,NA
FBpp0070067,FBgn0024989,Whole_body,15.6714285714286
FBpp0070067,FBgn0024989,Muscle,16.6
FBpp0070067,FBgn0024989,Gut,0.733333333333333
FBpp0070067,FBgn0024989,Fat_body,NA
FBpp0309733,FBgn0024989,Whole_body,15.6714285714286
FBpp0309733,FBgn0024989,Muscle,16.6
FBpp0309733,FBgn0024989,Gut,0.733333333333333
FBpp0309733,FBgn0024989,Fat_body,NA
FBpp0310562,FBgn0024989,Whole_body,15.6714285714286
FBpp0310562,FBgn0024989,Muscle,16.6
FBpp0310562,FBgn0024989,Gut,0.733333333333333
FBpp0310562,FBgn0024989,Fat_body,NA
FBpp0070068,FBgn0040371,Whole_body,42.6428571428571
FBpp0070068,FBgn0040371,Muscle,NA
FBpp0070068,FBgn0040371,Gut,NA
FBpp0070068,FBgn0040371,Fat_body,NA
FBpp0070071,FBgn0000022,Whole_body,1.51428571428571
FBpp0070071,FBgn0000022,Muscle,1
FBpp0070071,FBgn0000022,Gut,NA
FBpp0070071,FBgn0000022,Fat_body,NA
FBpp0070072,FBgn0004170,Whole_body,2.02857142857143
FBpp0070072,FBgn0004170,Muscle,0.975
FBpp0070072,FBgn0004170,Gut,NA
FBpp0070072,FBgn0004170,Fat_body,NA
FBpp0070074,FBgn0000137,Whole_body,0.828571428571429
FBpp0070074,FBgn0000137,Muscle,NA
FBpp0070074,FBgn0000137,Gut,NA
FBpp0070074,FBgn0000137,Fat_body,NA
FBpp0070077,FBgn0029524,Whole_body,1.74285714285714
FBpp0070077,FBgn0029524,Muscle,2.1
FBpp0070077,FBgn0029524,Gut,1.56666666666667
FBpp0070077,FBgn0029524,Fat_body,NA
FBpp0307857,FBgn0029524,Whole_body,1.74285714285714
FBpp0307857,FBgn0029524,Muscle,2.1
FBpp0307857,FBgn0029524,Gut,1.56666666666667
FBpp0307857,FBgn0029524,Fat_body,NA
FBpp0307858,FBgn0029524,Whole_body,1.74285714285714
FBpp0307858,FBgn0029524,Muscle,2.1
FBpp0307858,FBgn0029524,Gut,1.56666666666667
FBpp0307858,FBgn0029524,Fat_body,NA
FBpp0310106,FBgn0029524,Whole_body,1.74285714285714
FBpp0310106,FBgn0029524,Muscle,2.1
FBpp0310106,FBgn0029524,Gut,1.56666666666667
FBpp0310106,FBgn0029524,Fat_body,NA
FBpp0070078,FBgn0023536,Whole_body,5.3
FBpp0070078,FBgn0023536,Muscle,3.15
FBpp0070078,FBgn0023536,Gut,1.83333333333333
FBpp0070078,FBgn0023536,Fat_body,1.73333333333333
FBpp0070079,FBgn0023534,Whole_body,0.725
FBpp0070079,FBgn0023534,Muscle,NA
FBpp0070079,FBgn0023534,Gut,1.4
FBpp0070079,FBgn0023534,Fat_body,NA
FBpp0309131,FBgn0023534,Whole_body,0.725
FBpp0309131,FBgn0023534,Muscle,NA
FBpp0309131,FBgn0023534,Gut,1.4
FBpp0309131,FBgn0023534,Fat_body,NA
FBpp0070083,FBgn0023535,Whole_body,6.47142857142857
FBpp0070083,FBgn0023535,Muscle,NA
FBpp0070083,FBgn0023535,Gut,NA
FBpp0070083,FBgn0023535,Fat_body,12.0333333333333
FBpp0070087,FBgn0023537,Whole_body,48.0857142857143
FBpp0070087,FBgn0023537,Muscle,48.375
FBpp0070087,FBgn0023537,Gut,26.5
FBpp0070087,FBgn0023537,Fat_body,31.4333333333333
FBpp0070088,FBgn0023537,Whole_body,48.0857142857143
FBpp0070088,FBgn0023537,Muscle,48.375
FBpp0070088,FBgn0023537,Gut,26.5
FBpp0070088,FBgn0023537,Fat_body,31.4333333333333
FBpp0070089,FBgn0029525,Whole_body,4.94285714285714
FBpp0070089,FBgn0029525,Muscle,3.625
FBpp0070089,FBgn0029525,Gut,2.1
FBpp0070089,FBgn0029525,Fat_body,0.766666666666667
FBpp0070094,FBgn0010019,Whole_body,61.6428571428571
FBpp0070094,FBgn0010019,Muscle,396.225
FBpp0070094,FBgn0010019,Gut,NA
FBpp0070094,FBgn0010019,Fat_body,NA
FBpp0070095,FBgn0011822,Whole_body,3.3
FBpp0070095,FBgn0011822,Muscle,NA
FBpp0070095,FBgn0011822,Gut,9.83333333333333
FBpp0070095,FBgn0011822,Fat_body,NA
FBpp0070096,FBgn0052816,Whole_body,0.6
FBpp0070096,FBgn0052816,Muscle,0.675
FBpp0070096,FBgn0052816,Gut,NA
FBpp0070096,FBgn0052816,Fat_body,NA
FBpp0070097,FBgn0052816,Whole_body,0.6
FBpp0070097,FBgn0052816,Muscle,0.675
FBpp0070097,FBgn0052816,Gut,NA
FBpp0070097,FBgn0052816,Fat_body,NA
FBpp0271950,FBgn0052816,Whole_body,0.6
FBpp0271950,FBgn0052816,Muscle,0.675
FBpp0271950,FBgn0052816,Gut,NA
FBpp0271950,FBgn0052816,Fat_body,NA
FBpp0271951,FBgn0052816,Whole_body,0.6
FBpp0271951,FBgn0052816,Muscle,0.675
FBpp0271951,FBgn0052816,Gut,NA
FBpp0271951,FBgn0052816,Fat_body,NA
FBpp0310563,FBgn0052816,Whole_body,0.6
FBpp0310563,FBgn0052816,Muscle,0.675
FBpp0310563,FBgn0052816,Gut,NA
FBpp0310563,FBgn0052816,Fat_body,NA
FBpp0310564,FBgn0052816,Whole_body,0.6
FBpp0310564,FBgn0052816,Muscle,0.675
FBpp0310564,FBgn0052816,Gut,NA
FBpp0310564,FBgn0052816,Fat_body,NA
FBpp0070098,FBgn0040370,Whole_body,0.542857142857143
FBpp0070098,FBgn0040370,Muscle,NA
