id	tissue	expression
FBgn0000003	mE_mRNA_A_MateF_1d_head	0
FBgn0000008	mE_mRNA_A_MateF_1d_head	10
FBgn0000014	mE_mRNA_A_MateF_1d_head	0
FBgn0000015	mE_mRNA_A_MateF_1d_head	0
FBgn0000017	mE_mRNA_A_MateF_1d_head	8
FBgn0000018	mE_mRNA_A_MateF_1d_head	1
FBgn0000022	mE_mRNA_A_MateF_1d_head	0
FBgn0000024	mE_mRNA_A_MateF_1d_head	58
FBgn0000028	mE_mRNA_A_MateF_1d_head	22
FBgn0000032	mE_mRNA_A_MateF_1d_head	2
FBgn0000036	mE_mRNA_A_MateF_1d_head	9
FBgn0000037	mE_mRNA_A_MateF_1d_head	38
FBgn0000038	mE_mRNA_A_MateF_1d_head	108
FBgn0000039	mE_mRNA_A_MateF_1d_head	5
FBgn0000042	mE_mRNA_A_MateF_1d_head	961
FBgn0000043	mE_mRNA_A_MateF_1d_head	18
FBgn0000044	mE_mRNA_A_MateF_1d_head	1415
FBgn0000045	mE_mRNA_A_MateF_1d_head	234
FBgn0000046	mE_mRNA_A_MateF_1d_head	918
FBgn0000047	mE_mRNA_A_MateF_1d_head	3
FBgn0000052	mE_mRNA_A_MateF_1d_head	16
FBgn0000053	mE_mRNA_A_MateF_1d_head	16
FBgn0000055	mE_mRNA_A_MateF_1d_head	1584
FBgn0000056	mE_mRNA_A_MateF_1d_head	1683
FBgn0000057	mE_mRNA_A_MateF_1d_head	5
FBgn0000061	mE_mRNA_A_MateF_1d_head	0
FBgn0000063	mE_mRNA_A_MateF_1d_head	1
FBgn0000064	mE_mRNA_A_MateF_1d_head	317
FBgn0000071	mE_mRNA_A_MateF_1d_head	0
FBgn0000075	mE_mRNA_A_MateF_1d_head	1
FBgn0000077	mE_mRNA_A_MateF_1d_head	4
FBgn0000078	mE_mRNA_A_MateF_1d_head	6
FBgn0000079	mE_mRNA_A_MateF_1d_head	9
FBgn0000083	mE_mRNA_A_MateF_1d_head	29
FBgn0000084	mE_mRNA_A_MateF_1d_head	42
FBgn0000092	mE_mRNA_A_MateF_1d_head	1
FBgn0000094	mE_mRNA_A_MateF_1d_head	0
FBgn0000097	mE_mRNA_A_MateF_1d_head	8
FBgn0000100	mE_mRNA_A_MateF_1d_head	258
FBgn0000108	mE_mRNA_A_MateF_1d_head	149
FBgn0000109	mE_mRNA_A_MateF_1d_head	16
FBgn0000114	mE_mRNA_A_MateF_1d_head	6
FBgn0000115	mE_mRNA_A_MateF_1d_head	21
FBgn0000116	mE_mRNA_A_MateF_1d_head	260
FBgn0000117	mE_mRNA_A_MateF_1d_head	56
FBgn0000119	mE_mRNA_A_MateF_1d_head	3
FBgn0000120	mE_mRNA_A_MateF_1d_head	519
FBgn0000121	mE_mRNA_A_MateF_1d_head	1286
FBgn0000137	mE_mRNA_A_MateF_1d_head	0
FBgn0000139	mE_mRNA_A_MateF_1d_head	4
FBgn0000140	mE_mRNA_A_MateF_1d_head	0
FBgn0000146	mE_mRNA_A_MateF_1d_head	0
FBgn0000147	mE_mRNA_A_MateF_1d_head	1
FBgn0000150	mE_mRNA_A_MateF_1d_head	366
FBgn0000152	mE_mRNA_A_MateF_1d_head	5
FBgn0000153	mE_mRNA_A_MateF_1d_head	4
FBgn0000157	mE_mRNA_A_MateF_1d_head	3
FBgn0000158	mE_mRNA_A_MateF_1d_head	0
FBgn0000163	mE_mRNA_A_MateF_1d_head	3
FBgn0000166	mE_mRNA_A_MateF_1d_head	0
FBgn0000173	mE_mRNA_A_MateF_1d_head	46
FBgn0000179	mE_mRNA_A_MateF_1d_head	9
FBgn0000180	mE_mRNA_A_MateF_1d_head	2
FBgn0000181	mE_mRNA_A_MateF_1d_head	172
FBgn0000182	mE_mRNA_A_MateF_1d_head	3
FBgn0000183	mE_mRNA_A_MateF_1d_head	15
FBgn0000206	mE_mRNA_A_MateF_1d_head	41
FBgn0000212	mE_mRNA_A_MateF_1d_head	13
FBgn0000216	mE_mRNA_A_MateF_1d_head	0
FBgn0000221	mE_mRNA_A_MateF_1d_head	0
FBgn0000227	mE_mRNA_A_MateF_1d_head	0
FBgn0000228	mE_mRNA_A_MateF_1d_head	12
FBgn0000229	mE_mRNA_A_MateF_1d_head	17
FBgn0000233	mE_mRNA_A_MateF_1d_head	0
FBgn0000239	mE_mRNA_A_MateF_1d_head	18
FBgn0000241	mE_mRNA_A_MateF_1d_head	3
FBgn0000244	mE_mRNA_A_MateF_1d_head	11
FBgn0000246	mE_mRNA_A_MateF_1d_head	3
FBgn0000247	mE_mRNA_A_MateF_1d_head	8
FBgn0000250	mE_mRNA_A_MateF_1d_head	33
FBgn0000251	mE_mRNA_A_MateF_1d_head	2
FBgn0000253	mE_mRNA_A_MateF_1d_head	1136
FBgn0000256	mE_mRNA_A_MateF_1d_head	7
FBgn0000257	mE_mRNA_A_MateF_1d_head	2
FBgn0000259	mE_mRNA_A_MateF_1d_head	70
FBgn0000261	mE_mRNA_A_MateF_1d_head	80
FBgn0000273	mE_mRNA_A_MateF_1d_head	76
FBgn0000274	mE_mRNA_A_MateF_1d_head	0
FBgn0000276	mE_mRNA_A_MateF_1d_head	31
