Gene	Whole_Body	Muscle	Gut	Fat_Body
dmel-FBgn0000008	0.06815578465063	0.0441008018327606	0.00515463917525773	0.0922107674684995
dmel-FBgn0000014	0.0400935226879113	0.133183235192241	0.00225147211638379	0.0181849670938691
dmel-FBgn0000015	0.0300196850393701	0.0880905511811025	0.00147637795275591	0.00688976377952757
dmel-FBgn0000017	0.0599201065246339	0.0463382157123835	0.02237017310253	0.0125166444740347
dmel-FBgn0000018	0.100087796312555	0.0939420544337138	0.0368744512730465	0.0311676909569799
dmel-FBgn0000022	0.148351648351649	0.101648351648351	0	0
dmel-FBgn0000024	0.0429660429660429	0.0221760221760221	0.0360360360360361	0.0429660429660429
dmel-FBgn0000028	0.220588235294118	0	0	0
dmel-FBgn0000032	0.0516607677647699	0.0505717397222979	0.0677239313912334	0.0313095562210726
dmel-FBgn0000036	0.197080291970803	0	0	0
dmel-FBgn0000037	0.218045112781955	0	0	0
dmel-FBgn0000038	0.194202898550724	0	0	0
dmel-FBgn0000039	0.224899598393574	0	0	0
dmel-FBgn0000042	0.13526877554221	0.17662063303167	0.113063773651048	0.0555125047279034
dmel-FBgn0000043	0.207112090553942	0.100150255434238	0.143163377742162	0.0122207753180406
dmel-FBgn0000044	0.122712512203397	0.308311465307734	0.00376660873659358	0.000401586960886815
dmel-FBgn0000045	0.538461538461539	0	0	0
dmel-FBgn0000046	0.0791978694230564	0.298939985233625	0.00337517139542242	0.000830608585592236
dmel-FBgn0000047	0.505882352941176	0	0	0
dmel-FBgn0000052	0.0398729094654516	0.00583080199713697	0.00338675325582207	0.196676093711812
dmel-FBgn0000053	0.0423821884984025	0.00272896698615549	0.00274560702875399	0.283196884984025
dmel-FBgn0000054	0.0633857925397791	0.0554734370924268	0.0333014520476481	0.0153030171289453
dmel-FBgn0000055	0	0	0	4.59970208083445e-05
dmel-FBgn0000056	0	0	0	0
dmel-FBgn0000057	0.0912162162162162	0.0566646191646191	0.0188882063882064	0.0773955773955774
dmel-FBgn0000061	0.0620903759917213	0.0717488789237668	0.0551914453259745	0
dmel-FBgn0000063	0.169082125603865	0.0398550724637681	0.0169082125603865	0
dmel-FBgn0000064	0.0143619391823004	0.0101556156555821	0.00176433599306476	0.0171213850953291
dmel-FBgn0000071	0.0295552463496002	0.0116008113862299	0.00997468609076124	0.105664615848854
dmel-FBgn0000075	0.367647058823529	0.161764705882353	0	0
dmel-FBgn0000077	0.024805907971975	0.0331376633213406	0.0335163794735845	0.024805907971975
