id	D.melanogaster
cluster_1	4
cluster_2	3
cluster_3	1
cluster_4	3
cluster_5	6
cluster_6	15
cluster_7	1
cluster_8	5
cluster_9	19
cluster_10	4
cluster_11	7
cluster_12	3
cluster_13	5
cluster_14	10
cluster_15	17
cluster_16	10
cluster_17	7
cluster_18	7
cluster_19	9
cluster_20	5
cluster_21	3
cluster_22	1
cluster_23	3
cluster_24	5
cluster_25	22
cluster_26	5
cluster_27	4
cluster_28	3
cluster_29	4
cluster_30	3
cluster_31	3
cluster_32	1
cluster_33	4
cluster_34	5
cluster_35	18
cluster_36	4
cluster_37	6
cluster_38	1
cluster_39	5
cluster_40	1
cluster_41	3
cluster_42	3
cluster_43	3
cluster_44	1
cluster_45	1
cluster_46	7
cluster_47	4
cluster_48	5
cluster_49	6
cluster_50	4
cluster_51	3
cluster_52	2
cluster_53	3
cluster_54	4
cluster_55	45
cluster_56	5
cluster_57	1
cluster_58	6
cluster_59	3
cluster_60	1
cluster_61	51
cluster_62	4
cluster_63	1
cluster_64	2
cluster_65	4
cluster_66	3
cluster_67	3
cluster_68	4
cluster_69	5
cluster_70	3
cluster_71	4
cluster_72	8
cluster_73	1
cluster_74	9
cluster_75	4
cluster_76	3
cluster_77	13
cluster_78	33
cluster_79	3
cluster_80	1
cluster_81	4
cluster_82	9
cluster_83	5
cluster_84	1
cluster_85	3
cluster_86	4
cluster_87	3
cluster_88	22
cluster_89	1
cluster_90	1
cluster_91	13
cluster_92	4
cluster_93	4
cluster_94	15
cluster_95	4
cluster_96	2
cluster_97	1
cluster_98	3
cluster_99	8
cluster_100	1
cluster_101	26
cluster_102	2
cluster_103	6
cluster_104	1
cluster_105	2
cluster_106	2
cluster_107	10
cluster_108	2
cluster_109	10
cluster_110	1
cluster_111	3
cluster_112	11
cluster_113	10
cluster_114	2
cluster_115	3
cluster_116	4
cluster_117	60
cluster_118	12
cluster_119	21
cluster_120	49
cluster_121	2
cluster_122	7
cluster_123	7
cluster_124	1
cluster_125	11
cluster_126	4
cluster_127	13
cluster_128	2
cluster_129	4
cluster_130	4
cluster_131	3
cluster_132	5
cluster_133	1
cluster_134	1
cluster_135	3
cluster_136	2
cluster_137	2
cluster_138	11
cluster_139	9
cluster_140	11
cluster_141	17
cluster_142	1
cluster_143	1
cluster_144	7
cluster_145	42
cluster_146	2
cluster_147	17
cluster_148	3
cluster_149	19
cluster_150	3
cluster_151	5
cluster_152	1
cluster_153	2
cluster_154	3
cluster_155	11
cluster_156	23
cluster_157	10
cluster_158	1
cluster_159	13
cluster_160	1
cluster_161	2
cluster_162	2
cluster_163	10
cluster_164	32
cluster_165	5
cluster_166	17
cluster_167	3
cluster_168	2
cluster_169	2
cluster_170	2
cluster_171	6
cluster_172	2
cluster_173	11
cluster_174	1
cluster_175	4
cluster_176	2
cluster_177	5
cluster_178	15
cluster_179	7
cluster_180	3
cluster_181	6
cluster_182	18
cluster_183	10
cluster_184	3
cluster_185	5
cluster_186	22
cluster_187	3
cluster_188	4
cluster_189	14
cluster_190	4
cluster_191	6
cluster_192	12
cluster_193	3
cluster_194	1
cluster_195	8
cluster_196	17
cluster_197	5
cluster_198	13
cluster_199	5
cluster_200	4
cluster_201	2
cluster_202	26
cluster_203	6
cluster_204	9
cluster_205	3
cluster_206	13
cluster_207	1
cluster_208	16
cluster_209	4
cluster_210	19
cluster_211	1
cluster_212	1
cluster_213	4
cluster_214	10
cluster_215	8
cluster_216	2
cluster_217	1
cluster_218	2
cluster_219	18
cluster_220	4
cluster_221	2
cluster_222	4
cluster_223	3
cluster_224	13
cluster_225	6
cluster_226	1
cluster_227	7
cluster_228	2
cluster_229	8
cluster_230	2
cluster_231	5
cluster_232	4
cluster_233	2
cluster_234	15
cluster_235	7
cluster_236	1
cluster_237	3
cluster_238	14
cluster_239	11
cluster_240	3
cluster_241	6
cluster_242	2
cluster_243	5
cluster_244	5
cluster_245	4
cluster_246	2
cluster_247	11
cluster_248	5
cluster_249	1
cluster_250	14
cluster_251	44
cluster_252	4
cluster_253	4
cluster_254	3
cluster_255	2
cluster_256	1
cluster_257	3
cluster_258	29
cluster_259	6
cluster_260	13
cluster_261	1
cluster_262	15
cluster_263	4
cluster_264	2
cluster_265	5
cluster_266	7
cluster_267	7
cluster_268	9
cluster_269	11
cluster_270	9
cluster_271	8
cluster_272	33
cluster_273	8
cluster_274	1
cluster_275	3
cluster_276	2
cluster_277	5
cluster_278	5
cluster_279	3
cluster_280	13
cluster_281	11
cluster_282	3
cluster_283	3
cluster_284	2
cluster_285	1
cluster_286	2
cluster_287	7
cluster_288	3
cluster_289	6
cluster_290	4
cluster_291	2
cluster_292	4
cluster_293	4
cluster_294	2
cluster_295	4
cluster_296	2
cluster_297	8
cluster_298	2
cluster_299	8
cluster_300	4
cluster_301	1
cluster_302	7
cluster_303	3
cluster_304	3
cluster_305	24
cluster_306	3
cluster_307	4
cluster_308	2
cluster_309	3
cluster_310	3
cluster_311	4
cluster_312	1
cluster_313	20
cluster_314	6
cluster_315	2
cluster_316	5
cluster_317	2
cluster_318	12
cluster_319	3
cluster_320	6
cluster_321	14
cluster_322	2
cluster_323	5
cluster_324	11
cluster_325	30
cluster_326	1
cluster_327	7
cluster_328	3
cluster_329	3
cluster_330	8
cluster_331	2
cluster_332	1
cluster_333	5
cluster_334	4
cluster_335	2
cluster_336	4
cluster_337	4
cluster_338	3
cluster_339	4
cluster_340	5
cluster_341	2
cluster_342	2
cluster_343	5
cluster_344	2
cluster_345	16
cluster_346	17
cluster_347	4
cluster_348	3
