id	dmel	dana	dvir	dpse	dsec	dwil	dper	dyak	dsim	dere	dgri	dmoj
cluster_1	4	4	4	4	4	4	4	4	4	4	3	4
cluster_2	6	6	6	6	6	6	6	6	6	6	6	6
cluster_3	1	1	1	1	1	1	1	1	1	1	1	1
cluster_4	3	3	3	3	3	2	2	3	2	2	2	2
cluster_5	12	12	12	12	12	10	10	12	12	12	10	10
cluster_6	15	14	14	13	13	12	11	13	14	13	10	11
cluster_7	1	1	1	1	1	1	1	1	1	1	1	1
cluster_8	5	5	5	5	5	5	5	5	5	5	5	5
cluster_9	19	18	18	18	18	18	18	18	18	18	15	16
cluster_10	4	4	4	4	4	4	4	4	4	4	4	4
cluster_11	7	7	7	7	7	7	7	7	7	7	7	7
cluster_12	6	6	6	6	6	6	6	6	6	6	6	4
cluster_13	5	5	5	5	5	5	5	5	5	5	5	5
cluster_14	10	8	8	8	8	8	8	8	8	8	8	8
cluster_15	17	17	17	17	17	17	17	17	17	17	17	17
cluster_16	10	10	10	10	10	10	10	10	10	10	10	10
cluster_17	7	6	6	6	6	5	4	6	6	5	4	4
cluster_18	7	7	7	7	7	7	7	7	6	7	3	3
cluster_19	9	9	9	9	9	9	9	9	9	9	9	9
cluster_20	5	5	5	5	5	5	5	5	5	5	5	5
cluster_21	3	3	3	3	3	3	3	3	3	3	3	3
cluster_22	1	1	1	1	1	1	1	1	1	1	1	1
cluster_23	3	3	3	3	3	3	3	3	3	3	3	3
cluster_24	5	5	5	5	5	5	5	5	5	5	4	4
cluster_25	22	22	22	22	22	21	21	22	22	22	21	21
cluster_26	5	5	5	5	5	5	5	5	5	5	4	4
cluster_27	4	4	4	3	3	3	3	3	3	4	3	3
cluster_28	3	3	3	3	3	3	3	3	3	3	3	3
cluster_29	4	4	4	4	4	4	4	4	4	4	4	4
cluster_30	6	6	6	6	6	6	6	6	6	6	6	6
cluster_31	3	3	3	3	3	3	3	3	3	3	3	3
cluster_32	1	1	1	1	1	1	1	1	1	1	1	1
cluster_33	4	4	4	4	4	4	4	4	4	4	4	4
cluster_34	5	5	5	5	5	5	5	5	5	5	4	4
cluster_35	18	18	18	18	18	18	18	18	18	18	17	18
cluster_36	4	4	4	4	4	4	4	4	4	4	4	3
cluster_37	6	5	5	5	5	5	4	5	5	5	4	2
cluster_38	1	1	1	1	1	1	1	1	1	1	1	1
cluster_39	5	5	5	5	5	5	5	5	5	5	5	5
cluster_40	1	1	1	1	1	1	1	1	1	1	1	1
cluster_41	3	3	3	3	3	3	3	3	3	3	3	3
cluster_42	3	3	3	3	3	3	3	3	3	3	3	3
cluster_43	3	3	3	3	3	3	3	3	3	3	3	3
cluster_44	2	2	2	2	2	2	2	2	2	2	2	2
cluster_45	2	2	2	2	2	2	2	2	2	2	2	2
cluster_46	7	6	6	6	6	4	4	6	6	6	4	4
cluster_47	4	4	4	4	4	4	4	4	4	4	4	4
cluster_48	10	10	10	10	10	10	10	10	10	10	10	10
cluster_49	6	6	6	6	6	6	6	6	6	6	5	5
cluster_50	4	4	4	4	4	4	4	4	4	4	3	3
cluster_51	3	3	3	3	3	3	3	3	3	3	3	3
cluster_52	2	2	2	2	2	2	2	2	2	2	2	2
cluster_53	3	3	3	3	3	3	3	3	3	3	3	3
cluster_54	4	4	4	4	4	4	4	4	4	4	3	3
cluster_55	45	45	45	45	44	43	42	45	44	43	40	39
cluster_56	10	10	10	10	10	10	10	10	10	10	10	10
cluster_57	1	1	1	1	1	1	1	1	1	1	1	1
cluster_58	6	6	6	6	6	6	6	6	6	6	6	6
cluster_59	3	3	3	3	3	3	3	3	3	3	3	3
cluster_60	1	1	1	1	1	1	1	1	1	1	1	1
cluster_61	51	51	51	51	50	49	48	51	50	51	44	43
cluster_62	4	4	4	4	4	4	4	4	4	4	4	4
cluster_63	1	1	1	1	1	1	1	1	1	1	1	1
cluster_64	2	2	2	2	2	2	2	2	2	2	2	2
cluster_65	4	4	4	4	4	4	4	4	4	4	4	4
cluster_66	3	3	3	3	3	3	3	3	3	2	3	3
cluster_67	3	3	3	3	3	3	3	3	3	3	3	3
cluster_68	4	4	4	4	4	4	4	4	4	4	4	4
cluster_69	5	5	5	5	5	5	5	5	5	5	5	5
cluster_70	3	3	3	3	3	3	3	3	3	3	3	3
cluster_71	8	8	8	8	8	8	8	8	8	8	8	8
cluster_72	8	8	8	8	8	8	8	8	8	8	7	7
cluster_73	1	1	1	1	1	1	1	1	1	1	1	1
cluster_74	9	9	9	9	9	9	9	9	9	9	9	9
cluster_75	4	4	4	4	4	4	4	4	4	4	4	4
cluster_76	3	3	3	3	3	3	3	3	3	3	3	3
cluster_77	13	12	12	12	12	11	9	12	12	12	8	8
cluster_78	33	32	31	31	31	31	30	32	31	31	29	30
cluster_79	3	3	3	3	3	3	3	3	3	3	3	3
cluster_80	1	1	1	1	1	1	1	1	1	1	1	1
cluster_81	4	4	4	4	4	4	4	4	4	4	4	4
cluster_82	9	8	8	8	8	8	7	8	8	8	6	6
cluster_83	5	5	5	5	5	5	5	5	5	5	5	5
cluster_84	1	1	1	1	1	1	1	1	1	1	1	1
