cluster_0	FBgn0034997	FBgn0035421	FBgn0039768	FBgn0039769																																																																																																																																																																																																																																																																					
cluster_1	FBgn0032464	FBgn0263598	FBgn0265262																																																																																																																																																																																																																																																																						
cluster_2	FBgn0035766																																																																																																																																																																																																																																																																								
cluster_3	FBgn0014454	FBgn0031940	FBgn0031942																																																																																																																																																																																																																																																																						
cluster_4	FBgn0002284	FBgn0026380	FBgn0031442	FBgn0031443	FBgn0032596	FBgn0250746																																																																																																																																																																																																																																																																			
cluster_5	FBgn0017448	FBgn0029950	FBgn0031998	FBgn0034494	FBgn0035293	FBgn0037895	FBgn0038641	FBgn0038652	FBgn0039872	FBgn0039873	FBgn0051262	FBgn0051668	FBgn0052669	FBgn0053124	FBgn0250757																																																																																																																																																																																																																																																										
cluster_6	FBgn0030739	FBgn0031979	FBgn0034529																																																																																																																																																																																																																																																																						
cluster_7	FBgn0030670	FBgn0031948	FBgn0032477	FBgn0033187	FBgn0033392	FBgn0033479	FBgn0033844	FBgn0034346	FBgn0037915	FBgn0037916	FBgn0038649	FBgn0039010	FBgn0039360	FBgn0039518	FBgn0052099	FBgn0052380	FBgn0053116	FBgn0287585																																																																																																																																																																																																																																																							
cluster_8	FBgn0014037	FBgn0026441																																																																																																																																																																																																																																																																							
cluster_9	FBgn0027052	FBgn0028467	FBgn0030915	FBgn0032467	FBgn0034109	FBgn0039767	FBgn0261119																																																																																																																																																																																																																																																																		
cluster_10	FBgn0025827	FBgn0034162	FBgn0046999																																																																																																																																																																																																																																																																						
cluster_11	FBgn0001138	FBgn0003117	FBgn0003507	FBgn0032223	FBgn0038391																																																																																																																																																																																																																																																																				
cluster_12	FBgn0011227	FBgn0030733	FBgn0034245	FBgn0035600	FBgn0038271	FBgn0250814	FBgn0260008																																																																																																																																																																																																																																																																		
cluster_13	FBgn0001075	FBgn0003391	FBgn0011829	FBgn0015609	FBgn0022800	FBgn0024836	FBgn0036715	FBgn0037963	FBgn0038247	FBgn0038439	FBgn0039294	FBgn0039709	FBgn0261053	FBgn0261574	FBgn0262018	FBgn0284247																																																																																																																																																																																																																																																									
cluster_14	FBgn0004577	FBgn0011828	FBgn0032685	FBgn0038465	FBgn0038469	FBgn0038511	FBgn0259233	FBgn0261987	FBgn0263986	FBgn0283531																																																																																																																																																																																																																																																															
cluster_15	FBgn0001250	FBgn0004456	FBgn0004657	FBgn0010395	FBgn0034005	FBgn0034880	FBgn0286785																																																																																																																																																																																																																																																																		
cluster_16	FBgn0036712	FBgn0036874	FBgn0040333	FBgn0041195	FBgn0050048	FBgn0261571	FBgn0267489																																																																																																																																																																																																																																																																		
cluster_17	FBgn0032292	FBgn0032732	FBgn0034066	FBgn0034791	FBgn0038462	FBgn0039259	FBgn0052441																																																																																																																																																																																																																																																																		
cluster_18	FBgn0051660	FBgn0051760	FBgn0052447	FBgn0264339	FBgn0265002																																																																																																																																																																																																																																																																				
cluster_19	FBgn0030669	FBgn0034535	FBgn0262801																																																																																																																																																																																																																																																																						
cluster_20	FBgn0030653																																																																																																																																																																																																																																																																								
cluster_21	FBgn0003429	FBgn0029761	FBgn0261698																																																																																																																																																																																																																																																																						
cluster_22	FBgn0024836	FBgn0030466	FBgn0033313	FBgn0039818	FBgn0039821																																																																																																																																																																																																																																																																				
cluster_23	FBgn0000075	FBgn0000153	FBgn0000422	FBgn0003067	FBgn0003257	FBgn0004516	FBgn0005619	FBgn0013307	FBgn0013308	FBgn0019932	FBgn0031174	FBgn0033428	FBgn0034356	FBgn0035848	FBgn0036975	FBgn0050290	FBgn0050446	FBgn0259977																																																																																																																																																																																																																																																							
cluster_24	FBgn0035154	FBgn0038738	FBgn0051821	FBgn0051823	FBgn0052483																																																																																																																																																																																																																																																																				
cluster_25	FBgn0015509	FBgn0025637	FBgn0025638	FBgn0283468																																																																																																																																																																																																																																																																					
cluster_26	FBgn0024362	FBgn0051950																																																																																																																																																																																																																																																																							
cluster_27	FBgn0031893	FBgn0038735	FBgn0062440																																																																																																																																																																																																																																																																						
cluster_28	FBgn0003862	FBgn0025802	FBgn0261617																																																																																																																																																																																																																																																																						
cluster_29	FBgn0028541	FBgn0032880	FBgn0035622																																																																																																																																																																																																																																																																						
cluster_30	FBgn0014455																																																																																																																																																																																																																																																																								
cluster_31	FBgn0001324	FBgn0004597	FBgn0015618																																																																																																																																																																																																																																																																						
cluster_32	FBgn0011710	FBgn0013726	FBgn0014029	FBgn0026361	FBgn0259923																																																																																																																																																																																																																																																																				
cluster_33	FBgn0000448	FBgn0000546	FBgn0000568	FBgn0001078	FBgn0003651	FBgn0003720	FBgn0003964	FBgn0004865	FBgn0004914	FBgn0014859	FBgn0015239	FBgn0015240	FBgn0015381	FBgn0034012	FBgn0035849	FBgn0037436	FBgn0261239	FBgn0264562																																																																																																																																																																																																																																																							
cluster_34	FBgn0034882	FBgn0034883	FBgn0034884	FBgn0034885																																																																																																																																																																																																																																																																					
cluster_35	FBgn0003979	FBgn0003980	FBgn0003983	FBgn0014076	FBgn0085362	FBgn0086266																																																																																																																																																																																																																																																																			
cluster_36	FBgn0027580																																																																																																																																																																																																																																																																								
cluster_37	FBgn0000053	FBgn0029823	FBgn0032287	FBgn0039836																																																																																																																																																																																																																																																																					
cluster_38	FBgn0003654																																																																																																																																																																																																																																																																								
cluster_39	FBgn0000078	FBgn0000079	FBgn0020506																																																																																																																																																																																																																																																																						
cluster_40	FBgn0030500	FBgn0031886	FBgn0087021																																																																																																																																																																																																																																																																						
cluster_41	FBgn0028916	FBgn0051148	FBgn0051414																																																																																																																																																																																																																																																																						
cluster_42	FBgn0260450																																																																																																																																																																																																																																																																								
cluster_43	FBgn0031986	FBgn0031988	FBgn0035558	FBgn0040373	FBgn0050036	FBgn0050037	FBgn0053145																																																																																																																																																																																																																																																																		
cluster_44	FBgn0026309	FBgn0029693	FBgn0039139	FBgn0286027																																																																																																																																																																																																																																																																					
cluster_45	FBgn0000588	FBgn0000629	FBgn0003044	FBgn0263979																																																																																																																																																																																																																																																																					
cluster_46	FBgn0031064	FBgn0032911	FBgn0036493	FBgn0036764	FBgn0036984	FBgn0037203																																																																																																																																																																																																																																																																			
cluster_47	FBgn0032117	FBgn0035217	FBgn0036485	FBgn0044872																																																																																																																																																																																																																																																																					
cluster_48	FBgn0024992	FBgn0034792	FBgn0036702																																																																																																																																																																																																																																																																						
cluster_49	FBgn0011604	FBgn0027620																																																																																																																																																																																																																																																																							
cluster_50	FBgn0030964	FBgn0031888	FBgn0085407																																																																																																																																																																																																																																																																						
cluster_51	FBgn0011244	FBgn0015245	FBgn0031728	FBgn0032525																																																																																																																																																																																																																																																																					
cluster_52	FBgn0015808	FBgn0020392	FBgn0025352	FBgn0025835	FBgn0030148	FBgn0030859	FBgn0031032	FBgn0031033	FBgn0031034	FBgn0031060	FBgn0031184	FBgn0031422	FBgn0031632	FBgn0031974	FBgn0032668	FBgn0032669	FBgn0032670	FBgn0032715	FBgn0033110	FBgn0033792	FBgn0035265	FBgn0035557	FBgn0036691	FBgn0037251	FBgn0037356	FBgn0037612	FBgn0038366	FBgn0038873	FBgn0039091	FBgn0039092	FBgn0039093	FBgn0039543	FBgn0040918	FBgn0042175	FBgn0050471	FBgn0051683	FBgn0052645	FBgn0053120	FBgn0053337	FBgn0054010	FBgn0259229	FBgn0260006	FBgn0283681																																																																																																																																																																																																																														
cluster_53	FBgn0004620	FBgn0020429	FBgn0028422	FBgn0046113	FBgn0051201																																																																																																																																																																																																																																																																				
cluster_54	FBgn0000477																																																																																																																																																																																																																																																																								
cluster_55	FBgn0031604	FBgn0033540																																																																																																																																																																																																																																																																							
cluster_56	FBgn0001624	FBgn0002121	FBgn0263289																																																																																																																																																																																																																																																																						
cluster_57	FBgn0037472																																																																																																																																																																																																																																																																								
cluster_58	FBgn0025620	FBgn0028424	FBgn0030060	FBgn0030317	FBgn0030895	FBgn0031320	FBgn0031800	FBgn0031801	FBgn0032913	FBgn0034480	FBgn0035948	FBgn0036956	FBgn0037934	FBgn0037935	FBgn0037936	FBgn0038581	FBgn0039308	FBgn0039309	FBgn0039310	FBgn0039311	FBgn0039312	FBgn0039313	FBgn0039315	FBgn0039316	FBgn0039319	FBgn0039321	FBgn0039323	FBgn0039324	FBgn0039325	FBgn0039326	FBgn0039328	FBgn0042110	FBgn0045761	FBgn0051087	FBgn0051097	FBgn0051098	FBgn0051099	FBgn0051102	FBgn0051104	FBgn0051288	FBgn0051300	FBgn0051370	FBgn0051380	FBgn0051436	FBgn0051974	FBgn0051975	FBgn0052195	FBgn0053301	FBgn0053509	FBgn0053510	FBgn0053511																																																																																																																																																																																																																						
cluster_59	FBgn0020388	FBgn0037555																																																																																																																																																																																																																																																																							
cluster_60	FBgn0013753	FBgn0013755																																																																																																																																																																																																																																																																							
cluster_61	FBgn0003371	FBgn0015024	FBgn0015589	FBgn0026597																																																																																																																																																																																																																																																																					
cluster_62	FBgn0038167	FBgn0046692																																																																																																																																																																																																																																																																							
cluster_63	FBgn0010105	FBgn0041160	FBgn0259236																																																																																																																																																																																																																																																																						
cluster_64	FBgn0003062	FBgn0026196	FBgn0038964	FBgn0053505																																																																																																																																																																																																																																																																					
cluster_65	FBgn0023097	FBgn0026206	FBgn0031999	FBgn0051721	FBgn0265356																																																																																																																																																																																																																																																																				
cluster_66	FBgn0003392	FBgn0026479	FBgn0261276																																																																																																																																																																																																																																																																						
cluster_67	FBgn0039688	FBgn0039734	FBgn0259984	FBgn0265140																																																																																																																																																																																																																																																																					
cluster_68	FBgn0004646	FBgn0024177	FBgn0027106	FBgn0027107	FBgn0027108	FBgn0030989	FBgn0085387	FBgn0265274																																																																																																																																																																																																																																																																	
cluster_69	FBgn0050147																																																																																																																																																																																																																																																																								
cluster_70	FBgn0029709	FBgn0030341	FBgn0034681	FBgn0045866	FBgn0051787	FBgn0053105	FBgn0061492	FBgn0069242	FBgn0264389																																																																																																																																																																																																																																																																
cluster_71	FBgn0037955	FBgn0283450																																																																																																																																																																																																																																																																							
cluster_72	FBgn0037592	FBgn0051259	FBgn0051454																																																																																																																																																																																																																																																																						
cluster_73	FBgn0025678	FBgn0030329	FBgn0030734	FBgn0031345	FBgn0032514	FBgn0033663	FBgn0033814	FBgn0036317	FBgn0037498	FBgn0038918	FBgn0038919	FBgn0051413	FBgn0286818																																																																																																																																																																																																																																																												
cluster_74	FBgn0001565	FBgn0001942	FBgn0003261	FBgn0004419	FBgn0004556	FBgn0010220	FBgn0011802	FBgn0014189	FBgn0015075	FBgn0015331	FBgn0021995	FBgn0024804	FBgn0027602	FBgn0029880	FBgn0029979	FBgn0030631	FBgn0030855	FBgn0032690	FBgn0032919	FBgn0035720	FBgn0036104	FBgn0036754	FBgn0037205	FBgn0037549	FBgn0037561	FBgn0037573	FBgn0051755	FBgn0052344	FBgn0086130	FBgn0263231	FBgn0266581	FBgn0283442	FBgn0287774																																																																																																																																																																																																																																								
cluster_75	FBgn0067864	FBgn0259685	FBgn0261873																																																																																																																																																																																																																																																																						
cluster_76	FBgn0035627																																																																																																																																																																																																																																																																								
cluster_77	FBgn0003308	FBgn0011703	FBgn0011704	FBgn0053544																																																																																																																																																																																																																																																																					
cluster_78	FBgn0029866	FBgn0033203	FBgn0033204	FBgn0033205	FBgn0034500	FBgn0038610	FBgn0050491	FBgn0050495	FBgn0286852																																																																																																																																																																																																																																																																
cluster_79	FBgn0024509	FBgn0027518	FBgn0031399	FBgn0032339	FBgn0033247																																																																																																																																																																																																																																																																				
cluster_80	FBgn0028426																																																																																																																																																																																																																																																																								
cluster_81	FBgn0026015	FBgn0040268																																																																																																																																																																																																																																																																							
cluster_82	FBgn0037714	FBgn0037715	FBgn0038662	FBgn0052832																																																																																																																																																																																																																																																																					
cluster_83	FBgn0000250	FBgn0014018	FBgn0031317																																																																																																																																																																																																																																																																						
cluster_84	FBgn0010414	FBgn0011603	FBgn0027660	FBgn0028886	FBgn0029663	FBgn0029762	FBgn0031935	FBgn0031936	FBgn0031937	FBgn0031939	FBgn0033443	FBgn0033708	FBgn0034049	FBgn0034136	FBgn0034381	FBgn0034911	FBgn0035969	FBgn0039915	FBgn0053296	FBgn0260479	FBgn0262476	FBgn0267326																																																																																																																																																																																																																																																			
cluster_85	FBgn0003719	FBgn0004885	FBgn0028944	FBgn0028945	FBgn0028947	FBgn0028948	FBgn0028949	FBgn0028950	FBgn0030947	FBgn0037395	FBgn0038285	FBgn0039069	FBgn0039180																																																																																																																																																																																																																																																												
cluster_86	FBgn0004872	FBgn0011760	FBgn0034617	FBgn0036640																																																																																																																																																																																																																																																																					
cluster_87	FBgn0028901	FBgn0035800	FBgn0052232	FBgn0260639																																																																																																																																																																																																																																																																					
cluster_88	FBgn0002707	FBgn0020270	FBgn0033490	FBgn0036321	FBgn0036323	FBgn0036831	FBgn0036833	FBgn0037857	FBgn0039592	FBgn0039593	FBgn0051679	FBgn0051682	FBgn0052463	FBgn0053346	FBgn0289744																																																																																																																																																																																																																																																										
cluster_89	FBgn0002914	FBgn0015903	FBgn0037540																																																																																																																																																																																																																																																																						
cluster_90	FBgn0000454	FBgn0040493																																																																																																																																																																																																																																																																							
cluster_91	FBgn0031877																																																																																																																																																																																																																																																																								
cluster_92	FBgn0004956	FBgn0030904	FBgn0053542																																																																																																																																																																																																																																																																						
cluster_93	FBgn0000557	FBgn0000559	FBgn0028737	FBgn0029176	FBgn0032198	FBgn0034627	FBgn0284245																																																																																																																																																																																																																																																																		
cluster_94	FBgn0030668																																																																																																																																																																																																																																																																								
cluster_95	FBgn0001276	FBgn0026873	FBgn0027592	FBgn0034503	FBgn0034707	FBgn0034795	FBgn0035149	FBgn0035754	FBgn0035851	FBgn0036581	FBgn0036761	FBgn0036811	FBgn0037359	FBgn0038578	FBgn0038760	FBgn0039337	FBgn0039923	FBgn0040339	FBgn0051390	FBgn0260401																																																																																																																																																																																																																																																					
cluster_96	FBgn0011706	FBgn0015946	FBgn0036786	FBgn0038233	FBgn0040308																																																																																																																																																																																																																																																																				
cluster_97	FBgn0260397																																																																																																																																																																																																																																																																								
cluster_98	FBgn0015773	FBgn0015774																																																																																																																																																																																																																																																																							
cluster_99	FBgn0031296	FBgn0086904																																																																																																																																																																																																																																																																							
cluster_100	FBgn0030525	FBgn0032372	FBgn0035147	FBgn0035679	FBgn0043783	FBgn0052445	FBgn0267823																																																																																																																																																																																																																																																																		
cluster_101	FBgn0013563	FBgn0033564																																																																																																																																																																																																																																																																							
cluster_102	FBgn0031604	FBgn0031861	FBgn0037731	FBgn0038302	FBgn0039690	FBgn0051248	FBgn0051493	FBgn0052939																																																																																																																																																																																																																																																																	
cluster_103	FBgn0030305																																																																																																																																																																																																																																																																								
cluster_104	FBgn0002789	FBgn0035499	FBgn0038774																																																																																																																																																																																																																																																																						
cluster_105	FBgn0031725	FBgn0031837	FBgn0039617	FBgn0051646	FBgn0051708	FBgn0051814	FBgn0052791	FBgn0085420	FBgn0259245	FBgn0259714	FBgn0267428																																																																																																																																																																																																																																																														
cluster_106	FBgn0011227	FBgn0038271	FBgn0039576	FBgn0039651	FBgn0050354	FBgn0250814	FBgn0262842																																																																																																																																																																																																																																																																		
cluster_107	FBgn0032387																																																																																																																																																																																																																																																																								
cluster_108	FBgn0026876	FBgn0029798	FBgn0261850																																																																																																																																																																																																																																																																						
cluster_109	FBgn0029833	FBgn0030802	FBgn0041588	FBgn0086706																																																																																																																																																																																																																																																																					
cluster_110	FBgn0023523	FBgn0026384	FBgn0026385	FBgn0026386	FBgn0026388	FBgn0026389	FBgn0026390	FBgn0026391	FBgn0026392	FBgn0026393	FBgn0026394	FBgn0026395	FBgn0026396	FBgn0026397	FBgn0026398	FBgn0026399	FBgn0028946	FBgn0028963	FBgn0029521	FBgn0030016	FBgn0030204	FBgn0030298	FBgn0030715	FBgn0032096	FBgn0033041	FBgn0033043	FBgn0033404	FBgn0033422	FBgn0033727	FBgn0034473	FBgn0034865	FBgn0034866	FBgn0035382	FBgn0036009	FBgn0036019	FBgn0036080	FBgn0036474	FBgn0036709	FBgn0037322	FBgn0037324	FBgn0037399	FBgn0037576	FBgn0037590	FBgn0037591	FBgn0037594	FBgn0037685	FBgn0038203	FBgn0038798	FBgn0039033	FBgn0039034	FBgn0039551	FBgn0039582	FBgn0041621	FBgn0041622	FBgn0041623	FBgn0041624	FBgn0041625	FBgn0041626	FBgn0062565	FBgn0289868																																																																																																																																																																																																													
cluster_111	FBgn0010355	FBgn0014340	FBgn0020388	FBgn0026080	FBgn0028387	FBgn0032691	FBgn0034975	FBgn0036039	FBgn0039585	FBgn0039687	FBgn0261617																																																																																																																																																																																																																																																														
cluster_112	FBgn0027528	FBgn0027578	FBgn0029769	FBgn0031678	FBgn0031805	FBgn0031808	FBgn0032442	FBgn0032585	FBgn0032613	FBgn0033742	FBgn0037230	FBgn0037727	FBgn0039022	FBgn0039023	FBgn0039024	FBgn0039277	FBgn0039609	FBgn0039611	FBgn0039612	FBgn0039613	FBgn0259716																																																																																																																																																																																																																																																				
cluster_113	FBgn0000500	FBgn0000715	FBgn0003034	FBgn0004552	FBgn0013323	FBgn0013767	FBgn0023178	FBgn0028374	FBgn0028418	FBgn0028738	FBgn0032840	FBgn0033358	FBgn0034935	FBgn0036046	FBgn0036690	FBgn0036713	FBgn0038147	FBgn0038199	FBgn0038901	FBgn0039722	FBgn0042201	FBgn0044046	FBgn0044047	FBgn0044048	FBgn0044049	FBgn0044050	FBgn0044051	FBgn0053527	FBgn0085512	FBgn0086782	FBgn0261386	FBgn0264810																																																																																																																																																																																																																																									
cluster_114	FBgn0028372	FBgn0038296																																																																																																																																																																																																																																																																							
cluster_115	FBgn0013305	FBgn0025692	FBgn0030263	FBgn0035871	FBgn0037506	FBgn0038209	FBgn0050379																																																																																																																																																																																																																																																																		
cluster_116	FBgn0030310	FBgn0033327	FBgn0035806	FBgn0043575	FBgn0043576	FBgn0043577	FBgn0043578																																																																																																																																																																																																																																																																		
cluster_117	FBgn0263220																																																																																																																																																																																																																																																																								
cluster_118	FBgn0000042	FBgn0000043	FBgn0000212	FBgn0002783	FBgn0011715	FBgn0025463	FBgn0025716	FBgn0030093	FBgn0031947	FBgn0033015	FBgn0261885																																																																																																																																																																																																																																																														
cluster_119	FBgn0030960	FBgn0260945	FBgn0261108																																																																																																																																																																																																																																																																						
cluster_120	FBgn0024920	FBgn0028841	FBgn0030460	FBgn0032168	FBgn0032726	FBgn0032727	FBgn0032922	FBgn0033240	FBgn0033891	FBgn0038074	FBgn0053964																																																																																																																																																																																																																																																														
cluster_121	FBgn0014006	FBgn0024329																																																																																																																																																																																																																																																																							
cluster_122	FBgn0000541	FBgn0011604	FBgn0263979																																																																																																																																																																																																																																																																						
cluster_123	FBgn0035600	FBgn0039651																																																																																																																																																																																																																																																																							
cluster_124	FBgn0023212	FBgn0039066	FBgn0266711																																																																																																																																																																																																																																																																						
cluster_125	FBgn0010750	FBgn0019637	FBgn0034722	FBgn0035205	FBgn0037657																																																																																																																																																																																																																																																																				
