dmel	dana	dvir	dpse	dsec	dwil	dper	dyak	dsim	dere	dgri	dmoj
dmel-FBgn0000008	dana-FBgn0088690	dvir-FBgn0208971	dpse-FBgn0079820	dsec-FBgn0170804	dwil-FBgn0221636	dper-FBgn0149391	dyak-FBgn0231782	dsim-FBgn0269458	dere-FBgn0114341	dgri-FBgn0128019	
dmel-FBgn0000014	dana-FBgn0146478	dvir-FBgn0094940	dpse-FBgn0016478	dsec-FBgn0247827	dwil-FBgn0170323	dper-FBgn0215861	dyak-FBgn0160592	dsim-FBgn0243166	dere-FBgn0191744	dgri-FBgn0109040	dmoj-FBgn0125542
dmel-FBgn0000015	dana-FBgn0146477	dvir-FBgn0094939	dpse-FBgn0197878	dsec-FBgn0071172	dwil-FBgn0025061	dper-FBgn0215859	dyak-FBgn0160591	dsim-FBgn0243162	dere-FBgn0025043	dgri-FBgn0109036	dmoj-FBgn0125541
dmel-FBgn0000017	dana-FBgn0139458	dvir-FBgn0087553	dpse-FBgn0199695	dsec-FBgn0077903	dwil-FBgn0179243	dper-FBgn0222082	dyak-FBgn0150327	dsim-FBgn0239427	dere-FBgn0108099	dgri-FBgn0123923	dmoj-GI16710
dmel-FBgn0000018	dana-FBgn0141635	dvir-FBgn0091076	dpse-FBgn0207857	dsec-FBgn0079343	dwil-FBgn0166192	dper-FBgn0216896	dyak-FBgn0156622	dsim-FBgn0230830	dere-FBgn0193617	dgri-FBgn0102648	dmoj-FBgn0128346
dmel-FBgn0000022	dana-FBgn0133760	dvir-FBgn0098450	dpse-FBgn0013102	dsec-FBgn0077701	dwil-FBgn0173962	dper-FBgn0227228	dyak-FBgn0157972	dsim-FBgn0022828	dere-FBgn0269163	dgri-FBgn0028822	dmoj-FBgn0131795
dmel-FBgn0000024	dana-FBgn0146942	dvir-FBgn0094417	dpse-FBgn0198062	dsec-FBgn0074745	dwil-FBgn0180812	dper-FBgn0083342	dyak-FBgn0160725	dsim-FBgn0241576	dere-FBgn0022516	dgri-FBgn0109299	dmoj-FBgn0126651
dmel-FBgn0000028	dana-FBgn0138166	dvir-FBgn0098048	dpse-FBgn0203559	dsec-FBgn0247997	dwil-FBgn0177076	dper-FBgn0179878	dyak-FBgn0222013	dsim-FBgn0152347	dere-FBgn0152349	dgri-FBgn0233604	dmoj-FBgn0187465
dmel-FBgn0000032	dana-FBgn0144698	dvir-FBgn0093237	dpse-FBgn0023233	dsec-FBgn0248239	dwil-FBgn0167136	dper-FBgn0216090	dyak-FBgn0151097	dsim-FBgn0228271	dere-FBgn0189058	dgri-FBgn0104273	dmoj-FBgn0129644
dmel-FBgn0000036	dana-FBgn0145405	dvir-FBgn0097718	dpse-FBgn0210505	dsec-FBgn0248698	dwil-FBgn0178350	dper-FBgn0224783	dyak-FBgn0159571	dsim-FBgn0228637	dere-FBgn0189822	dgri-FBgn0104632	dmoj-FBgn0126254
dmel-FBgn0000037	dana-FBgn0141083	dvir-FBgn0090494	dpse-FBgn0207878	dsec-FBgn0078138	dwil-FBgn0166782	dper-FBgn0224073	dyak-FBgn0158075	dsim-FBgn0229272	dere-FBgn0196275	dgri-FBgn0112139	dmoj-FBgn0128367
dmel-FBgn0000038	dana-FBgn0135485	dvir-FBgn0102064	dpse-FBgn0199951	dsec-FBgn0070993	dwil-FBgn0169581	dper-FBgn0218585	dyak-FBgn0156010	dsim-FBgn0238706	dere-FBgn0185542	dgri-FBgn0107481	dmoj-FBgn0123153
dmel-FBgn0000039	dana-FBgn0132847	dvir-FBgn0097758	dpse-FBgn0210913	dsec-FBgn0079897	dwil-FBgn0181454	dper-FBgn0224326	dyak-FBgn0159460	dsim-FBgn0240670	dere-FBgn0192557	dgri-FBgn0103596	dmoj-FBgn0126291
dmel-FBgn0000042	dana-FBgn0142332	dvir-FBgn0138061	dpse-FBgn0090854	dsec-FBgn0099076	dwil-FBgn0201951	dper-FBgn0205554	dyak-FBgn0273109	dsim-FBgn0246293	dere-FBgn0077895	dgri-FBgn0171407	dmoj-FBgn0167384
dmel-FBgn0000043	dana-FBgn0142332	dvir-FBgn0138061	dpse-FBgn0090854	dsec-FBgn0099076	dwil-FBgn0201951	dper-FBgn0205554	dyak-FBgn0273109	dsim-FBgn0246293	dere-FBgn0077895	dgri-FBgn0171407	dmoj-FBgn0167384
dmel-FBgn0000044	dana-FBgn0145949	dvir-FBgn0147062	dpse-FBgn0142448	dsec-FBgn0094620	dwil-FBgn0089247	dper-FBgn0016404	dyak-FBgn0016401	dsim-FBgn0016403	dere-FBgn0245743	dgri-FBgn0074904	dmoj-FBgn0248103
dmel-FBgn0000045	dana-FBgn0136324	dvir-FBgn0087980	dpse-FBgn0095318	dsec-FBgn0016402	dwil-FBgn0080375	dper-FBgn0174179	dyak-FBgn0177296	dsim-FBgn0213473	dere-FBgn0212696	dgri-FBgn0109157	dmoj-FBgn0108476
dmel-FBgn0000046	dana-FBgn0145949	dvir-FBgn0147062	dpse-FBgn0142448	dsec-FBgn0094620	dwil-FBgn0089247	dper-FBgn0016404	dyak-FBgn0016401	dsim-FBgn0016403	dere-FBgn0245743	dgri-FBgn0074904	dmoj-FBgn0248103
dmel-FBgn0000047	dana-FBgn0145949	dvir-FBgn0147062	dpse-FBgn0142448	dsec-FBgn0094620	dwil-FBgn0089247	dper-FBgn0016404	dyak-FBgn0016401	dsim-FBgn0016403	dere-FBgn0245743	dgri-FBgn0074904	dmoj-FBgn0248103
dmel-FBgn0000052	dana-FBgn0136298	dvir-FBgn0092435	dpse-FBgn0199436	dsec-FBgn0081549	dwil-FBgn0172874	dper-FBgn0217402	dyak-FBgn0156684	dsim-FBgn0236323	dere-FBgn0194006	dgri-FBgn0102454	dmoj-FBgn0118421
dmel-FBgn0000053	dana-FBgn0134605	dvir-FBgn0091971	dpse-FBgn0201179	dsec-FBgn0012717	dwil-FBgn0168586	dper-FBgn0216867	dyak-FBgn0163361	dsim-FBgn0235802	dere-FBgn0193920	dgri-FBgn0277492	dmoj-FBgn0121112
dmel-FBgn0000055	dana-FBgn0012566	dvir-FBgn0012567	dpse-FBgn0012113	dsec-FBgn0014837	dwil-FBgn0014836	dper-FBgn0246619	dyak-FBgn0246618	dsim-FBgn0243561	dere-FBgn0012780	dgri-FBgn0013152	dmoj-FBgn0163597
dmel-FBgn0000056	dana-FBgn0140387	dvir-FBgn0083877	dpse-FBgn0042733	dsec-FBgn0012689	dwil-FBgn0012781	dper-FBgn0220290	dyak-FBgn0012636	dsim-FBgn0013164	dere-FBgn0012825	dgri-FBgn0012262	dmoj-FBgn0120880
dmel-FBgn0000057	dana-FBgn0141394	dvir-FBgn0089689	dpse-FBgn0208791	dsec-FBgn0078677	dwil-FBgn0176726	dper-FBgn0221492	dyak-FBgn0149159	dsim-FBgn0229708	dere-FBgn0183092	dgri-FBgn0114025	dmoj-FBgn0128516
dmel-FBgn0000061	dana-FBgn0144354	dvir-FBgn0097652	dpse-FBgn0204940	dsec-FBgn0077794	dwil-FBgn0171649	dper-FBgn0225750	dyak-FBgn0156473	dsim-FBgn0234262	dere-FBgn0194411	dgri-FBgn0116845	dmoj-FBgn0118701
dmel-FBgn0000063	dana-FBgn0147324	dvir-FBgn0094842	dpse-FBgn0209769	dsec-FBgn0080495	dwil-FBgn0170176	dper-FBgn0215500	dyak-FBgn0159114	dsim-FBgn0242558	dere-FBgn0190685	dgri-FBgn0114599	dmoj-FBgn0125570
