Family	Gene
paralog_cluster_5	FBgn0051668
paralog_cluster_7	FBgn0287585
paralog_cluster_12	FBgn0034245
paralog_cluster_15	FBgn0286785
paralog_cluster_35	FBgn0003983
paralog_cluster_43	FBgn0050036
paralog_cluster_73	FBgn0286818
paralog_cluster_74	FBgn0287774
paralog_cluster_78	FBgn0286852
paralog_cluster_88	FBgn0289744
paralog_cluster_110	FBgn0289868
paralog_cluster_113	FBgn0086782
paralog_cluster_128	FBgn0286809
paralog_cluster_165	FBgn0053774
paralog_cluster_169	FBgn0259196
paralog_cluster_174	FBgn0034245
paralog_cluster_189	FBgn0286511
paralog_cluster_215	FBgn0052786
paralog_cluster_227	FBgn0288690
paralog_cluster_251	FBgn0288229
paralog_cluster_258	FBgn0286567
paralog_cluster_261	FBgn0052671
paralog_cluster_261	FBgn0067052
paralog_cluster_281	FBgn0287864
paralog_cluster_291	FBgn0288690
paralog_cluster_312	FBgn0287186
paralog_cluster_323	FBgn0289579
paralog_cluster_331	FBgn0285963
paralog_cluster_334	FBgn0004240
paralog_cluster_351	FBgn0289579
paralog_cluster_371	FBgn0286508
paralog_cluster_376	FBgn0286813
paralog_cluster_377	FBgn0287720
paralog_cluster_400	FBgn0288469
paralog_cluster_406	FBgn0010042
paralog_cluster_418	FBgn0036608
paralog_cluster_423	FBgn0287696
paralog_cluster_430	FBgn0263740
paralog_cluster_439	FBgn0287724
paralog_cluster_446	FBgn0286203
paralog_cluster_475	FBgn0286723
paralog_cluster_476	FBgn0286213
paralog_cluster_487	FBgn0287234
paralog_cluster_489	FBgn0286788
paralog_cluster_492	FBgn0289579
paralog_cluster_518	FBgn0289579
paralog_cluster_537	FBgn0287873
paralog_cluster_540	FBgn0288875
paralog_cluster_556	FBgn0287828
paralog_cluster_559	FBgn0286980
paralog_cluster_559	FBgn0287184
paralog_cluster_559	FBgn0289578
paralog_cluster_561	FBgn0263740
paralog_cluster_562	FBgn0289579
paralog_cluster_579	FBgn0028544
paralog_cluster_579	FBgn0028938
paralog_cluster_589	FBgn0288888
paralog_cluster_609	FBgn0287767
paralog_cluster_631	FBgn0267432
paralog_cluster_631	FBgn0287844
paralog_cluster_639	FBgn0037974
paralog_cluster_639	FBgn0287185
paralog_cluster_665	FBgn0052786
paralog_cluster_682	FBgn0286784
paralog_cluster_682	FBgn0286788
paralog_cluster_682	FBgn0287225
paralog_cluster_709	FBgn0010357
paralog_cluster_709	FBgn0286782
paralog_cluster_718	FBgn0287454
paralog_cluster_729	FBgn0287775
paralog_cluster_732	FBgn0038930
paralog_cluster_732	FBgn0040733
paralog_cluster_732	FBgn0040736
paralog_cluster_743	FBgn0289579
paralog_cluster_774	FBgn0288856
paralog_cluster_779	FBgn0289712
paralog_cluster_783	FBgn0287184
paralog_cluster_798	FBgn0288447
paralog_cluster_809	FBgn0287183
paralog_cluster_836	FBgn0053192
paralog_cluster_841	FBgn0286506
paralog_cluster_842	FBgn0287204
paralog_cluster_845	FBgn0287788
paralog_cluster_868	FBgn0289579
paralog_cluster_897	FBgn0031957
paralog_cluster_924	FBgn0289712
paralog_cluster_927	FBgn0286204
paralog_cluster_927	FBgn0287768
paralog_cluster_927	FBgn0288433
paralog_cluster_940	FBgn0289745
paralog_cluster_990	FBgn0287831
paralog_cluster_995	FBgn0288966
paralog_cluster_1000	FBgn0288967
paralog_cluster_1028	FBgn0086558
paralog_cluster_1043	FBgn0003374
paralog_cluster_1049	FBgn0042173
paralog_cluster_1055	FBgn0052823
paralog_cluster_1055	FBgn0283432
paralog_cluster_1055	FBgn0283433
paralog_cluster_1058	FBgn0052601
paralog_cluster_1066	FBgn0284243
paralog_cluster_1066	FBgn0288686
paralog_cluster_1089	FBgn0289579
paralog_cluster_1103	FBgn0289122
paralog_cluster_1108	FBgn0288232
paralog_cluster_1108	FBgn0289743
paralog_cluster_1109	FBgn0021738
paralog_cluster_1129	FBgn0000357
paralog_cluster_1146	FBgn0283437
paralog_cluster_1146	FBgn0286203
paralog_cluster_1159	FBgn0067905
paralog_cluster_1166	FBgn0287695
paralog_cluster_1171	FBgn0287209
paralog_cluster_1182	FBgn0289122
paralog_cluster_1192	FBgn0286222
